TOP_X_SENSOR,TOP_Y_DEMO,n_sensor_union,n_demo_union,n_features,epochs,best_val_loss,sis_decay,ohs_decay,val_overall_n,val_overall_MAE,val_overall_RMSE,val_overall_R2,val_overall_Pearson,val_SIS_n,val_SIS_MAE,val_SIS_RMSE,val_SIS_R2,val_SIS_Pearson,val_OHS_n,val_OHS_MAE,val_OHS_RMSE,val_OHS_R2,val_OHS_Pearson,test_overall_n,test_overall_MAE,test_overall_RMSE,test_overall_R2,test_overall_Pearson,test_SIS_n,test_SIS_MAE,test_SIS_RMSE,test_SIS_R2,test_SIS_Pearson,test_OHS_n,test_OHS_MAE,test_OHS_RMSE,test_OHS_R2,test_OHS_Pearson
5,0,8,0,8,66,1.0386875867843628,0.0725517123937606,0.0773319900035858,216.0,0.9654842416445414,1.1289682793437927,0.3222440301382747,0.645200498430718,72.0,0.862655328379737,0.9788362377703006,-0.9192024929868968,0.3004875977159533,144.0,1.0168986982769437,1.1969936814622577,-0.036795566725235,0.2289015608421176,216.0,1.0789619871863612,1.3074644403464035,0.1481076446192417,0.4941950641146646,72.0,0.82757768034935,1.0167054092848575,-0.0354876108156445,0.241969375239032,144.0,1.204654140604867,1.4308563692841283,-0.7665549497863919,-0.3058866211596374
5,1,8,2,10,63,0.9715561866760254,0.0743554756045341,0.0794736072421073,216.0,0.9172685626480316,1.0609701609174256,0.4014282558917814,0.6781535973970473,72.0,0.8905709981918335,0.991089999024224,-0.9675551228298668,0.206777376619602,144.0,0.9306173448761303,1.0942380136208043,0.13357093675777,0.3825418525547152,216.0,1.17408665297208,1.392798420482206,0.0332782713094049,0.4211566405838176,72.0,0.8696889281272888,1.0531025984082345,-0.1109538220485648,0.1266648988368848,144.0,1.3262855153944757,1.5347047334127517,-1.03228557251153,-0.4658808611788795
5,2,8,2,10,63,0.9715561866760254,0.0743554756045341,0.0794736072421073,216.0,0.9172685626480316,1.0609701609174256,0.4014282558917814,0.6781535973970473,72.0,0.8905709981918335,0.991089999024224,-0.9675551228298668,0.206777376619602,144.0,0.9306173448761303,1.0942380136208043,0.13357093675777,0.3825418525547152,216.0,1.17408665297208,1.392798420482206,0.0332782713094049,0.4211566405838176,72.0,0.8696889281272888,1.0531025984082345,-0.1109538220485648,0.1266648988368848,144.0,1.3262855153944757,1.5347047334127517,-1.03228557251153,-0.4658808611788795
5,3,8,4,12,62,1.019619345664978,0.0764518156647682,0.0772684589028358,216.0,0.94919915497303,1.0950506563053428,0.3623559789058935,0.6442911044364904,72.0,0.8988791803518931,0.9737618555278258,-0.8993554065844955,0.2944454686906522,144.0,0.9743591422835984,1.150911740391784,0.0414970446195127,0.2438215413560448,216.0,1.149114629736653,1.36977524951751,0.0649742346388823,0.4265217491529406,72.0,0.8544109132554796,1.0534004025686303,-0.1115822384067644,0.1943838135822263,144.0,1.2964664879772398,1.5031966428981467,-0.9496949339530324,-0.5057519631217765
5,4,8,5,13,84,0.9704893827438354,0.0785852447152137,0.0754409432411193,216.0,0.8851153558051145,1.0809422773402195,0.3786806511162437,0.6217321054681294,72.0,0.8374885155094994,1.059981561648884,-1.250594962445358,0.0883437254723764,144.0,0.908928775952922,1.0912716686940915,0.1382621351518002,0.3817774602433263,216.0,1.3042337546745937,1.545205061993247,-0.1898636397304864,0.2982020872808963,72.0,0.9990399827559788,1.2341704243618796,-0.5258256392154419,0.0646429582885968,144.0,1.4568306406339009,1.6792557003713104,-1.4331491481820795,-0.4798738180008837
5,5,8,6,14,64,1.1513729095458984,0.0772961527109146,0.0773597136139869,216.0,1.0039947524114892,1.163316079389378,0.2803765050467129,0.6079112985579861,72.0,0.9912947316964468,1.1017694286706292,-1.4315441308243488,0.1234256830487561,144.0,1.0103447627690103,1.192899205244185,-0.0297147035055174,0.1771792891493291,216.0,1.1300772185678836,1.3392185621734471,0.1062256859448517,0.4530500194128678,72.0,0.9460337261358897,1.1334042573124297,-0.2868393065121903,-0.0209142305120496,144.0,1.2220989647838805,1.4310684577118953,-0.7670786831775249,-0.3885236565105036
5,6,8,7,15,61,1.1737205982208252,0.0776814445853233,0.0768547356128692,216.0,0.976879973102499,1.1481665872461448,0.2989973158529061,0.6154236382630778,72.0,1.082569592528873,1.2221696629779903,-1.9920146768074805,0.1399616834346206,144.0,0.924035163389312,1.109315295824781,0.1095297423149838,0.3374461079047035,216.0,1.1616138363326038,1.3774489216812962,0.0544686000921561,0.3788615483523129,72.0,0.893171532286538,1.0895613941999904,-0.189208630047081,0.1068478176839105,144.0,1.2958349883556366,1.5008252003134592,-0.943548110077984,-0.4578206130904775
5,7,8,7,15,61,1.1737205982208252,0.0776814445853233,0.0768547356128692,216.0,0.976879973102499,1.1481665872461448,0.2989973158529061,0.6154236382630778,72.0,1.082569592528873,1.2221696629779903,-1.9920146768074805,0.1399616834346206,144.0,0.924035163389312,1.109315295824781,0.1095297423149838,0.3374461079047035,216.0,1.1616138363326038,1.3774489216812962,0.0544686000921561,0.3788615483523129,72.0,0.893171532286538,1.0895613941999904,-0.189208630047081,0.1068478176839105,144.0,1.2958349883556366,1.5008252003134592,-0.943548110077984,-0.4578206130904775
6,0,10,0,10,63,0.9861818552017212,0.0748592391610145,0.0765411108732223,216.0,0.9613950153191884,1.096390165142518,0.3607950425258026,0.6357402601298598,72.0,0.8074425955613455,0.8844955471977174,-0.5670830841179537,0.2075365472042651,144.0,1.03837122519811,1.1882511960126791,-0.0217059813813114,0.1499760471865113,216.0,1.067656370224776,1.274635343411375,0.1903508540778684,0.5545830788695348,72.0,0.7856636842091879,0.9545202254201391,0.0873066021147805,0.3557009323310054,144.0,1.2086527132325702,1.4076535289772458,-0.7097263922131518,-0.3009372382847812
6,1,10,2,12,64,1.0098706483840942,0.073940172791481,0.0742679163813591,216.0,0.9489211489756902,1.106288331061445,0.3492015118984337,0.6199848221957768,72.0,0.8581326736344231,0.9469214165361196,-0.7960920852346574,0.3402387969850515,144.0,0.9943153866463236,1.177913716117055,-0.0040061510392128,0.1924395638030542,216.0,1.166921067017096,1.3928111160603036,0.0332606475858849,0.4371966603321217,72.0,0.788752579026752,0.9985093015544722,0.0012452254478249,0.2361274329690528,144.0,1.356005311012268,1.5528598761273738,-1.0806527551083054,-0.420366033048022
