top_x,top_y,n_sensor,n_demo,n_features,test_ohs_item_mae,test_ohs_item_rmse,test_sis_item_mae,test_sis_item_rmse,test_ohs_total_mae,test_ohs_total_rmse,test_sis_total_mae,test_sis_total_rmse,train_ohs_item_mae,train_ohs_item_rmse,train_sis_item_mae,train_sis_item_rmse,mean_test_item_mae,mean_train_item_mae,overfit_gap,epochs
7,1,11,2,13,1.6131,1.8073,0.9576,1.2041,14.294,15.2345,3.7172,4.429,0.6333,0.776,0.6608,0.8446,1.2853,0.647,0.6383,85
32,3,38,4,42,1.6077,1.8283,0.9665,1.2044,13.3981,14.5485,3.9475,4.6785,0.5463,0.6729,0.5344,0.6997,1.2871,0.5403,0.7468,107
37,7,41,7,48,1.5829,1.7991,1.0099,1.2607,12.5066,14.1853,4.0954,4.541,0.5826,0.7325,0.5809,0.7402,1.2964,0.5818,0.7146,86
37,6,41,7,48,1.5829,1.7991,1.0099,1.2607,12.5066,14.1853,4.0954,4.541,0.5826,0.7325,0.5809,0.7402,1.2964,0.5818,0.7146,86
36,6,41,7,48,1.5919,1.8069,1.0084,1.2605,12.6145,14.2728,4.082,4.5265,0.5818,0.7313,0.5821,0.7405,1.3002,0.582,0.7182,86
36,7,41,7,48,1.5919,1.8069,1.0084,1.2605,12.6145,14.2728,4.082,4.5265,0.5818,0.7313,0.5821,0.7405,1.3002,0.582,0.7182,86
39,4,44,5,49,1.5983,1.8112,1.0055,1.2551,12.5882,14.1124,3.9703,4.6725,0.6074,0.7379,0.6301,0.7736,1.3019,0.6187,0.6831,78
18,3,25,4,29,1.5965,1.8051,1.0078,1.2938,12.2018,14.1887,4.0463,4.8166,0.5238,0.6445,0.4991,0.6589,1.3022,0.5115,0.7907,143
42,4,44,5,49,1.5964,1.8098,1.0106,1.2551,12.5181,14.0517,3.9698,4.6764,0.6061,0.7372,0.6319,0.7753,1.3035,0.619,0.6845,78
29,5,36,6,42,1.5674,1.788,1.0504,1.3104,12.0424,13.2473,4.2586,4.9446,0.6042,0.745,0.5806,0.7493,1.3089,0.5924,0.7165,85
41,4,44,5,49,1.603,1.8182,1.0169,1.2597,12.702,14.1818,4.0153,4.7273,0.6067,0.7377,0.633,0.7753,1.3099,0.6199,0.6901,78
40,4,44,5,49,1.603,1.8182,1.0169,1.2597,12.702,14.1818,4.0153,4.7273,0.6067,0.7377,0.633,0.7753,1.3099,0.6199,0.6901,78
27,7,34,7,41,1.5799,1.7645,1.1095,1.3755,13.1993,14.9335,4.8722,5.5431,0.5906,0.7253,0.539,0.7266,1.3447,0.5648,0.78,91
27,6,34,7,41,1.5799,1.7645,1.1095,1.3755,13.1993,14.9335,4.8722,5.5431,0.5906,0.7253,0.539,0.7266,1.3447,0.5648,0.78,91
