top_x,top_y,n_sensor,n_demo,n_features,test_ohs_item_mae,test_ohs_item_rmse,test_sis_item_mae,test_sis_item_rmse,test_ohs_total_mae,test_ohs_total_rmse,test_sis_total_mae,test_sis_total_rmse,train_ohs_item_mae,train_ohs_item_rmse,train_sis_item_mae,train_sis_item_rmse,mean_test_item_mae,mean_train_item_mae,overfit_gap,epochs
10,2,15,2,17,1.3489,1.5633,0.8312,0.9974,9.4155,10.7042,2.7896,3.1185,0.8215,0.9854,0.8605,1.0416,1.09,0.841,0.249,65
11,4,17,5,22,1.2505,1.4399,0.9345,1.1203,8.8414,10.213,3.5344,3.9713,0.8031,0.9693,0.817,1.0026,1.0925,0.81,0.2825,64
5,2,8,2,10,1.3217,1.5222,0.8648,1.0505,9.1822,10.3588,3.1926,3.6659,0.8721,1.0457,0.8832,1.09,1.0932,0.8776,0.2156,61
5,1,8,2,10,1.3217,1.5222,0.8648,1.0505,9.1822,10.3588,3.1926,3.6659,0.8721,1.0457,0.8832,1.09,1.0932,0.8776,0.2156,61
15,4,22,5,27,1.2838,1.4512,0.9031,1.0871,9.3369,10.5525,3.4058,4.0217,0.8737,1.0496,0.8755,1.0571,1.0935,0.8746,0.2189,61
7,5,11,6,17,1.3408,1.5561,0.8507,1.0431,9.5468,10.4825,3.046,3.494,0.8709,1.0408,0.8458,1.0404,1.0958,0.8584,0.2374,64
5,6,8,7,15,1.2959,1.5014,0.8998,1.0872,8.5868,9.8256,3.5481,4.1888,0.8706,1.0346,0.8767,1.0841,1.0978,0.8736,0.2242,61
5,7,8,7,15,1.2959,1.5014,0.8998,1.0872,8.5868,9.8256,3.5481,4.1888,0.8706,1.0346,0.8767,1.0841,1.0978,0.8736,0.2242,61
6,4,10,5,15,1.2768,1.4697,0.9218,1.0939,8.7701,10.0148,3.5387,4.13,0.8669,1.0317,0.8606,1.0377,1.0993,0.8637,0.2356,61
27,0,34,0,34,1.3061,1.501,0.8939,1.1115,10.2819,11.1693,3.0162,3.7942,0.6553,0.801,0.5991,0.7904,1.1,0.6272,0.4728,79
29,4,36,5,41,1.3164,1.4987,0.8838,1.0584,9.0744,10.3239,3.2237,3.7848,0.861,1.0342,0.7769,0.9594,1.1001,0.8189,0.2811,61
24,4,32,5,37,1.2999,1.5066,0.9053,1.1052,9.7526,10.5929,3.4381,4.1221,0.8388,1.0042,0.8417,1.0516,1.1026,0.8402,0.2623,60
32,2,38,2,40,1.3031,1.5216,0.9067,1.1826,9.3833,10.2405,3.0234,4.0087,0.4813,0.6003,0.4819,0.639,1.1049,0.4816,0.6233,168
32,1,38,2,40,1.3031,1.5216,0.9067,1.1826,9.3833,10.2405,3.0234,4.0087,0.4813,0.6003,0.4819,0.639,1.1049,0.4816,0.6233,168
6,5,10,6,16,1.2587,1.4562,0.9514,1.1147,8.8287,10.0648,3.6273,4.1723,0.8715,1.0434,0.8229,1.0138,1.1051,0.8472,0.2578,62
9,0,14,0,14,1.241,1.4826,0.9697,1.1868,8.9317,9.4123,3.5039,4.3135,0.6456,0.7981,0.6181,0.81,1.1053,0.6318,0.4735,86
8,0,12,0,12,1.2743,1.5029,0.9377,1.209,8.3362,9.6475,3.3727,4.5367,0.7447,0.9111,0.7277,0.9248,1.106,0.7362,0.3698,73
30,1,38,2,40,1.2921,1.5054,0.9231,1.2026,9.1579,10.1435,3.1503,4.198,0.4811,0.6009,0.4813,0.6381,1.1076,0.4812,0.6264,168
30,2,38,2,40,1.2921,1.5054,0.9231,1.2026,9.1579,10.1435,3.1503,4.198,0.4811,0.6009,0.4813,0.6381,1.1076,0.4812,0.6264,168
6,0,10,0,10,1.355,1.5482,0.8618,1.0791,10.2206,11.2283,2.9039,3.8001,0.7219,0.8745,0.6707,0.8516,1.1084,0.6963,0.4121,78
11,1,17,2,19,1.3882,1.6061,0.8415,1.0821,10.5851,11.9082,2.6197,3.0283,0.7493,0.9116,0.6978,0.9133,1.1149,0.7235,0.3913,68
11,2,17,2,19,1.3882,1.6061,0.8415,1.0821,10.5851,11.9082,2.6197,3.0283,0.7493,0.9116,0.6978,0.9133,1.1149,0.7235,0.3913,68
11,3,17,4,21,1.3499,1.53,0.8808,1.0641,10.2563,11.2144,3.2506,3.7912,0.7579,0.9149,0.7928,0.9705,1.1154,0.7754,0.34,66
24,6,32,7,39,1.394,1.5783,0.8426,1.0269,11.2733,12.4251,2.9274,3.4749,0.7357,0.9016,0.7052,0.9029,1.1183,0.7204,0.3979,68
24,7,32,7,39,1.394,1.5783,0.8426,1.0269,11.2733,12.4251,2.9274,3.4749,0.7357,0.9016,0.7052,0.9029,1.1183,0.7204,0.3979,68
7,3,11,4,15,1.3137,1.5039,0.9241,1.105,9.7535,10.7923,3.5732,4.1822,0.8841,1.0386,0.8773,1.0637,1.1189,0.8807,0.2382,61
10,0,15,0,15,1.3265,1.5159,0.9151,1.1397,10.4377,11.523,3.8791,4.8916,0.6823,0.8334,0.6515,0.8285,1.1208,0.6669,0.4539,77
24,1,32,2,34,1.3843,1.5599,0.8577,1.0532,11.0466,12.232,3.0429,3.6713,0.7445,0.9088,0.6825,0.8767,1.121,0.7135,0.4075,68
24,2,32,2,34,1.3843,1.5599,0.8577,1.0532,11.0466,12.232,3.0429,3.6713,0.7445,0.9088,0.6825,0.8767,1.121,0.7135,0.4075,68
19,5,26,6,32,1.3313,1.5351,0.9139,1.083,9.9969,11.2925,3.2071,3.7334,0.7978,0.9574,0.801,1.0103,1.1226,0.7994,0.3232,64
20,5,26,6,32,1.3291,1.5324,0.9167,1.0852,9.9886,11.2621,3.2371,3.7618,0.7945,0.9557,0.7979,1.0048,1.1229,0.7962,0.3267,64
32,4,38,5,43,1.3773,1.5998,0.875,1.1283,9.3645,11.0683,3.3176,3.8468,0.6695,0.8171,0.6791,0.8474,1.1262,0.6743,0.4519,73
31,4,38,5,43,1.376,1.6005,0.8768,1.1307,9.3077,11.0521,3.3538,3.8916,0.6709,0.8195,0.6841,0.8491,1.1264,0.6775,0.4489,73
44,5,45,6,51,1.4016,1.6104,0.8519,1.0549,10.4225,11.5727,2.5456,3.1003,0.7512,0.9445,0.6991,0.868,1.1268,0.7252,0.4016,68
34,2,40,2,42,1.4397,1.6278,0.8166,1.0205,11.2158,12.2953,2.649,3.3778,0.7487,0.9163,0.665,0.8481,1.1281,0.7068,0.4213,68
34,1,40,2,42,1.4397,1.6278,0.8166,1.0205,11.2158,12.2953,2.649,3.3778,0.7487,0.9163,0.665,0.8481,1.1281,0.7068,0.4213,68
43,5,45,6,51,1.4097,1.618,0.8511,1.0514,10.5661,11.6965,2.5447,3.0976,0.75,0.9433,0.699,0.8685,1.1304,0.7245,0.406,68
35,2,40,2,42,1.4409,1.6281,0.8222,1.0252,11.2016,12.2912,2.7265,3.4391,0.7475,0.9151,0.6656,0.8473,1.1316,0.7066,0.425,68
35,1,40,2,42,1.4409,1.6281,0.8222,1.0252,11.2016,12.2912,2.7265,3.4391,0.7475,0.9151,0.6656,0.8473,1.1316,0.7066,0.425,68
27,3,34,4,38,1.3368,1.5365,0.9269,1.123,9.3294,10.6757,3.5149,4.0834,0.7807,0.9361,0.7753,0.9741,1.1319,0.778,0.3539,65
30,4,38,5,43,1.3967,1.6147,0.8675,1.1139,9.5483,11.2058,3.3031,3.8342,0.6708,0.8198,0.6817,0.8498,1.1321,0.6763,0.4558,73
33,5,39,6,45,1.3247,1.5277,0.9432,1.2009,9.7965,10.8979,3.1692,3.6486,0.6396,0.7817,0.5943,0.7764,1.1339,0.617,0.5169,85
43,6,45,7,52,1.289,1.5299,0.9796,1.221,9.0108,9.8863,3.6347,4.2486,0.7835,0.9595,0.7033,0.8657,1.1343,0.7434,0.3909,64
43,7,45,7,52,1.289,1.5299,0.9796,1.221,9.0108,9.8863,3.6347,4.2486,0.7835,0.9595,0.7033,0.8657,1.1343,0.7434,0.3909,64
27,4,34,5,39,1.3947,1.5672,0.8763,1.0649,11.6123,12.4169,2.9983,3.6724,0.7624,0.9277,0.7341,0.9408,1.1355,0.7483,0.3872,69
44,6,45,7,52,1.291,1.5295,0.9807,1.2228,9.0379,9.9081,3.6499,4.2632,0.7857,0.9615,0.7026,0.8653,1.1358,0.7442,0.3916,64
44,7,45,7,52,1.291,1.5295,0.9807,1.2228,9.0379,9.9081,3.6499,4.2632,0.7857,0.9615,0.7026,0.8653,1.1358,0.7442,0.3916,64
22,0,29,0,29,1.3887,1.6012,0.8868,1.1316,9.9148,11.5871,2.9104,3.7649,0.6229,0.7638,0.5711,0.7262,1.1378,0.597,0.5408,91
9,4,14,5,19,1.3685,1.5742,0.9193,1.1421,10.1348,11.3947,3.3611,3.8388,0.7879,0.9544,0.7054,0.9076,1.1439,0.7467,0.3972,68
8,4,12,5,17,1.3912,1.5994,0.9004,1.0858,10.3693,11.7799,3.0052,3.4486,0.8057,0.9684,0.7938,0.9731,1.1458,0.7997,0.3461,67
25,5,33,6,39,1.3852,1.5735,0.9076,1.0885,10.8849,11.9779,3.3995,3.9926,0.7611,0.9309,0.7686,0.9626,1.1464,0.7648,0.3816,68
25,1,33,2,35,1.3589,1.565,0.934,1.1352,10.0758,11.4516,3.6575,4.3525,0.6869,0.8304,0.6609,0.8414,1.1464,0.6739,0.4725,78
25,2,33,2,35,1.3589,1.565,0.934,1.1352,10.0758,11.4516,3.6575,4.3525,0.6869,0.8304,0.6609,0.8414,1.1464,0.6739,0.4725,78
38,1,43,2,45,1.3878,1.6066,0.9051,1.1334,10.7025,11.8258,3.119,3.9794,0.624,0.7686,0.5965,0.7708,1.1465,0.6103,0.5362,85
38,2,43,2,45,1.3878,1.6066,0.9051,1.1334,10.7025,11.8258,3.119,3.9794,0.624,0.7686,0.5965,0.7708,1.1465,0.6103,0.5362,85
26,2,33,2,35,1.3755,1.5804,0.9236,1.122,10.3693,11.6618,3.614,4.3025,0.681,0.8254,0.6618,0.8408,1.1495,0.6714,0.4781,78
26,1,33,2,35,1.3755,1.5804,0.9236,1.122,10.3693,11.6618,3.614,4.3025,0.681,0.8254,0.6618,0.8408,1.1495,0.6714,0.4781,78
26,5,33,6,39,1.3855,1.575,0.9154,1.0943,10.8834,11.9532,3.4351,4.0354,0.7651,0.9361,0.7649,0.9585,1.1505,0.765,0.3855,68
7,0,11,0,11,1.2953,1.525,1.0089,1.2738,9.2693,10.1433,3.3508,3.8334,0.71,0.8573,0.6484,0.8253,1.1521,0.6792,0.4729,76
13,4,19,5,24,1.3905,1.6096,0.9231,1.1579,9.9841,11.8074,3.3037,4.1034,0.6164,0.7453,0.6028,0.7888,1.1568,0.6096,0.5472,85
17,7,25,7,32,1.4387,1.6542,0.8752,1.0837,10.1324,11.2346,2.5696,2.8998,0.6094,0.746,0.5948,0.7758,1.1569,0.6021,0.5548,86
17,6,25,7,32,1.4387,1.6542,0.8752,1.0837,10.1324,11.2346,2.5696,2.8998,0.6094,0.746,0.5948,0.7758,1.1569,0.6021,0.5548,86
14,4,20,5,25,1.3508,1.5629,0.9636,1.1649,8.7576,9.6713,3.2851,3.8456,0.8017,0.958,0.7985,0.9997,1.1572,0.8001,0.3571,64
13,3,19,4,23,1.3864,1.6279,0.9347,1.185,8.7185,9.8841,3.7053,4.4598,0.6657,0.8106,0.6285,0.7794,1.1606,0.6471,0.5134,77
36,1,41,2,43,1.4005,1.5996,0.9208,1.1324,10.4407,11.6057,3.9091,4.4105,0.7002,0.8553,0.6936,0.8646,1.1607,0.6969,0.4638,70
36,2,41,2,43,1.4005,1.5996,0.9208,1.1324,10.4407,11.6057,3.9091,4.4105,0.7002,0.8553,0.6936,0.8646,1.1607,0.6969,0.4638,70
20,1,26,2,28,1.3942,1.5914,0.9281,1.1741,11.4819,12.5308,2.9554,3.6111,0.5222,0.6458,0.5113,0.6794,1.1612,0.5167,0.6444,126
20,2,26,2,28,1.3942,1.5914,0.9281,1.1741,11.4819,12.5308,2.9554,3.6111,0.5222,0.6458,0.5113,0.6794,1.1612,0.5167,0.6444,126
37,1,41,2,43,1.403,1.6019,0.9242,1.14,10.4595,11.6043,4.0078,4.5006,0.6992,0.8552,0.6923,0.8608,1.1636,0.6957,0.4679,70
37,2,41,2,43,1.403,1.6019,0.9242,1.14,10.4595,11.6043,4.0078,4.5006,0.6992,0.8552,0.6923,0.8608,1.1636,0.6957,0.4679,70
18,6,25,7,32,1.4501,1.6631,0.8831,1.0959,10.297,11.5466,2.6578,3.0013,0.6099,0.746,0.5932,0.7735,1.1666,0.6015,0.565,86
18,7,25,7,32,1.4501,1.6631,0.8831,1.0959,10.297,11.5466,2.6578,3.0013,0.6099,0.746,0.5932,0.7735,1.1666,0.6015,0.565,86
8,6,12,7,19,1.383,1.5841,0.9507,1.1721,9.8842,11.1956,3.427,3.965,0.7701,0.9317,0.6812,0.8856,1.1668,0.7256,0.4412,68
8,7,12,7,19,1.383,1.5841,0.9507,1.1721,9.8842,11.1956,3.427,3.965,0.7701,0.9317,0.6812,0.8856,1.1668,0.7256,0.4412,68
40,7,44,7,51,1.4593,1.6678,0.8759,1.0676,11.2315,12.2736,3.4313,3.8668,0.7413,0.9304,0.7041,0.8744,1.1676,0.7227,0.4449,68
41,6,44,7,51,1.4593,1.6678,0.8759,1.0676,11.2315,12.2736,3.4313,3.8668,0.7413,0.9304,0.7041,0.8744,1.1676,0.7227,0.4449,68
41,7,44,7,51,1.4593,1.6678,0.8759,1.0676,11.2315,12.2736,3.4313,3.8668,0.7413,0.9304,0.7041,0.8744,1.1676,0.7227,0.4449,68
40,6,44,7,51,1.4593,1.6678,0.8759,1.0676,11.2315,12.2736,3.4313,3.8668,0.7413,0.9304,0.7041,0.8744,1.1676,0.7227,0.4449,68
28,5,35,6,41,1.3969,1.57,0.9392,1.1674,10.9317,12.2501,3.8138,4.2118,0.7802,0.9428,0.6833,0.8523,1.1681,0.7318,0.4363,68
39,6,44,7,51,1.4608,1.6718,0.877,1.0672,11.2142,12.2877,3.4127,3.8429,0.7414,0.9306,0.7027,0.8736,1.1689,0.7221,0.4468,68
39,7,44,7,51,1.4608,1.6718,0.877,1.0672,11.2142,12.2877,3.4127,3.8429,0.7414,0.9306,0.7027,0.8736,1.1689,0.7221,0.4468,68
42,7,44,7,51,1.4646,1.6742,0.8737,1.0642,11.3046,12.3469,3.3963,3.831,0.7407,0.9298,0.7045,0.8751,1.1691,0.7226,0.4465,68
42,6,44,7,51,1.4646,1.6742,0.8737,1.0642,11.3046,12.3469,3.3963,3.831,0.7407,0.9298,0.7045,0.8751,1.1691,0.7226,0.4465,68
33,2,39,2,41,1.3979,1.5692,0.9406,1.1708,10.475,11.9326,3.3318,4.0255,0.7277,0.89,0.6415,0.812,1.1693,0.6846,0.4847,71
33,1,39,2,41,1.3979,1.5692,0.9406,1.1708,10.475,11.9326,3.3318,4.0255,0.7277,0.89,0.6415,0.812,1.1693,0.6846,0.4847,71
33,3,39,4,43,1.4505,1.6631,0.8903,1.1374,10.2901,11.6691,3.5161,4.2021,0.572,0.6947,0.5488,0.7228,1.1704,0.5604,0.61,99
15,2,22,2,24,1.4176,1.6425,0.9247,1.1671,10.5861,12.0226,3.5754,4.3303,0.6229,0.7557,0.6006,0.8161,1.1711,0.6117,0.5594,85
15,1,22,2,24,1.4176,1.6425,0.9247,1.1671,10.5861,12.0226,3.5754,4.3303,0.6229,0.7557,0.6006,0.8161,1.1711,0.6117,0.5594,85
39,3,44,4,48,1.319,1.5581,1.0245,1.2827,8.737,9.9326,3.9456,4.7319,0.6335,0.7882,0.6213,0.7907,1.1717,0.6274,0.5443,79
42,3,44,4,48,1.3143,1.561,1.0295,1.2941,8.5878,9.8849,3.9805,4.761,0.6326,0.7863,0.6197,0.7886,1.1719,0.6262,0.5457,79
18,4,25,5,30,1.3951,1.5836,0.9508,1.1713,11.3013,12.5358,3.1817,3.8131,0.625,0.7639,0.588,0.758,1.173,0.6065,0.5665,85
33,4,39,5,44,1.3834,1.5801,0.9641,1.1653,10.6564,12.4193,3.7145,4.3186,0.6935,0.8592,0.7022,0.8836,1.1738,0.6979,0.4759,70
37,3,41,4,45,1.3937,1.6161,0.9559,1.1691,9.7871,11.0863,3.6421,4.3165,0.6146,0.7629,0.5945,0.8056,1.1748,0.6045,0.5703,85
41,3,44,4,48,1.3147,1.5629,1.0357,1.2995,8.6199,9.9006,4.0084,4.7857,0.6326,0.7864,0.6208,0.791,1.1752,0.6267,0.5485,79
40,3,44,4,48,1.3147,1.5629,1.0357,1.2995,8.6199,9.9006,4.0084,4.7857,0.6326,0.7864,0.6208,0.791,1.1752,0.6267,0.5485,79
33,6,39,7,46,1.4128,1.5966,0.9395,1.2254,10.5961,12.1118,3.7657,4.5443,0.587,0.7147,0.5675,0.7305,1.1761,0.5772,0.5989,91
33,7,39,7,46,1.4128,1.5966,0.9395,1.2254,10.5961,12.1118,3.7657,4.5443,0.587,0.7147,0.5675,0.7305,1.1761,0.5772,0.5989,91
24,3,32,4,36,1.4599,1.6685,0.8988,1.1139,10.4224,12.0673,3.3805,3.8022,0.695,0.8455,0.7138,0.8755,1.1793,0.7044,0.4749,71
19,1,26,2,28,1.4561,1.6493,0.9028,1.1633,10.6627,12.0213,3.2923,3.8257,0.6078,0.7466,0.6366,0.7999,1.1794,0.6222,0.5572,84
19,2,26,2,28,1.4561,1.6493,0.9028,1.1633,10.6627,12.0213,3.2923,3.8257,0.6078,0.7466,0.6366,0.7999,1.1794,0.6222,0.5572,84
36,3,41,4,45,1.3985,1.6186,0.9642,1.1733,9.8409,11.1768,3.686,4.3474,0.6171,0.7651,0.5928,0.8035,1.1814,0.605,0.5764,85
26,3,33,4,37,1.4363,1.6301,0.9333,1.1669,11.1996,12.6732,3.5414,4.1953,0.717,0.8719,0.6669,0.8577,1.1848,0.692,0.4928,69
23,5,30,6,36,1.4537,1.6489,0.917,1.1527,9.8813,11.0523,3.5456,4.1734,0.6315,0.7646,0.628,0.7785,1.1854,0.6297,0.5556,78
13,5,19,6,25,1.4604,1.7186,0.9106,1.2079,10.522,11.7576,2.8045,3.4956,0.6588,0.8094,0.6508,0.8459,1.1855,0.6548,0.5307,77
17,2,25,2,27,1.4521,1.6484,0.9224,1.2025,11.204,12.8622,2.9572,3.4979,0.6197,0.7525,0.5783,0.7515,1.1872,0.599,0.5882,89
17,1,25,2,27,1.4521,1.6484,0.9224,1.2025,11.204,12.8622,2.9572,3.4979,0.6197,0.7525,0.5783,0.7515,1.1872,0.599,0.5882,89
38,6,43,7,50,1.4116,1.6117,0.9639,1.1964,9.7102,11.4363,3.6008,4.0594,0.762,0.9164,0.7072,0.9051,1.1878,0.7346,0.4532,67
38,7,43,7,50,1.4116,1.6117,0.9639,1.1964,9.7102,11.4363,3.6008,4.0594,0.762,0.9164,0.7072,0.9051,1.1878,0.7346,0.4532,67
43,1,45,2,47,1.4389,1.6654,0.9397,1.1496,10.0556,11.2876,3.6707,4.2989,0.7365,0.8877,0.701,0.8939,1.1893,0.7187,0.4705,69
43,2,45,2,47,1.4389,1.6654,0.9397,1.1496,10.0556,11.2876,3.6707,4.2989,0.7365,0.8877,0.701,0.8939,1.1893,0.7187,0.4705,69
25,3,33,4,37,1.4295,1.6244,0.9499,1.1868,11.0844,12.5553,3.6605,4.3496,0.7212,0.8758,0.6724,0.8687,1.1897,0.6968,0.4929,69
35,4,40,5,45,1.4027,1.5932,0.9795,1.1582,11.5939,12.7434,3.4846,4.1171,0.7391,0.9021,0.6536,0.834,1.1911,0.6964,0.4947,69
14,6,20,7,27,1.4733,1.6655,0.9091,1.1711,10.9066,12.3092,3.2038,3.8646,0.6128,0.7486,0.5789,0.7381,1.1912,0.5959,0.5953,90
14,7,20,7,27,1.4733,1.6655,0.9091,1.1711,10.9066,12.3092,3.2038,3.8646,0.6128,0.7486,0.5789,0.7381,1.1912,0.5959,0.5953,90
23,7,30,7,37,1.3731,1.5524,1.0103,1.2546,10.7068,12.2404,4.162,4.7234,0.6924,0.846,0.6569,0.8353,1.1917,0.6746,0.5171,69
23,6,30,7,37,1.3731,1.5524,1.0103,1.2546,10.7068,12.2404,4.162,4.7234,0.6924,0.846,0.6569,0.8353,1.1917,0.6746,0.5171,69
44,2,45,2,47,1.4359,1.6659,0.9474,1.1596,9.9971,11.2646,3.7342,4.385,0.7365,0.8876,0.6962,0.889,1.1917,0.7163,0.4753,69
44,1,45,2,47,1.4359,1.6659,0.9474,1.1596,9.9971,11.2646,3.7342,4.385,0.7365,0.8876,0.6962,0.889,1.1917,0.7163,0.4753,69
41,2,44,2,46,1.4965,1.7282,0.887,1.0801,11.8111,13.508,2.9277,3.7432,0.6077,0.7492,0.6099,0.8019,1.1918,0.6088,0.583,85
40,2,44,2,46,1.4965,1.7282,0.887,1.0801,11.8111,13.508,2.9277,3.7432,0.6077,0.7492,0.6099,0.8019,1.1918,0.6088,0.583,85
40,1,44,2,46,1.4965,1.7282,0.887,1.0801,11.8111,13.508,2.9277,3.7432,0.6077,0.7492,0.6099,0.8019,1.1918,0.6088,0.583,85
41,1,44,2,46,1.4965,1.7282,0.887,1.0801,11.8111,13.508,2.9277,3.7432,0.6077,0.7492,0.6099,0.8019,1.1918,0.6088,0.583,85
34,4,40,5,45,1.402,1.5923,0.9816,1.1594,11.6289,12.7552,3.5226,4.1549,0.7384,0.9014,0.6548,0.8347,1.1918,0.6966,0.4952,69
8,5,12,6,18,1.4215,1.6177,0.9642,1.2078,11.1127,13.0989,4.1716,4.6396,0.6573,0.8039,0.6506,0.8046,1.1929,0.654,0.5389,76
18,5,25,6,31,1.4648,1.6791,0.9213,1.141,12.3235,13.6067,3.1467,3.8091,0.7393,0.9001,0.6967,0.8901,1.193,0.718,0.475,68
12,5,18,6,24,1.3893,1.6037,0.9968,1.239,10.2652,11.3773,3.9821,4.711,0.7686,0.9243,0.6781,0.871,1.1931,0.7234,0.4697,67
45,7,46,7,53,1.4645,1.6566,0.922,1.1863,11.4669,12.3899,3.1791,3.7478,0.7211,0.8732,0.6505,0.8472,1.1933,0.6858,0.5075,68
45,6,46,7,53,1.4645,1.6566,0.922,1.1863,11.4669,12.3899,3.1791,3.7478,0.7211,0.8732,0.6505,0.8472,1.1933,0.6858,0.5075,68
46,7,46,7,53,1.4645,1.6566,0.922,1.1863,11.4669,12.3899,3.1791,3.7478,0.7211,0.8732,0.6505,0.8472,1.1933,0.6858,0.5075,68
46,6,46,7,53,1.4645,1.6566,0.922,1.1863,11.4669,12.3899,3.1791,3.7478,0.7211,0.8732,0.6505,0.8472,1.1933,0.6858,0.5075,68
42,2,44,2,46,1.4996,1.7242,0.8897,1.0828,11.9734,13.5169,2.9829,3.8398,0.6075,0.7495,0.6095,0.8021,1.1947,0.6085,0.5862,85
42,1,44,2,46,1.4996,1.7242,0.8897,1.0828,11.9734,13.5169,2.9829,3.8398,0.6075,0.7495,0.6095,0.8021,1.1947,0.6085,0.5862,85
23,3,30,4,34,1.4657,1.6732,0.9256,1.1266,11.0836,12.2687,3.564,4.1616,0.7484,0.9068,0.6835,0.8724,1.1957,0.7159,0.4797,68
17,5,25,6,31,1.4659,1.682,0.9264,1.1417,12.3484,13.715,3.1984,3.7332,0.7374,0.8996,0.6864,0.8806,1.1962,0.7119,0.4843,68
25,4,33,5,38,1.3473,1.5426,1.0459,1.2564,10.0275,11.3063,4.2447,4.8655,0.7798,0.9342,0.724,0.9134,1.1966,0.7519,0.4446,65
14,3,20,4,24,1.5047,1.7715,0.8889,1.0928,10.3863,13.0769,3.2542,3.808,0.6079,0.7418,0.6022,0.7883,1.1968,0.6051,0.5917,85
20,3,26,4,30,1.3982,1.5739,0.996,1.2267,11.0324,12.3406,3.8308,4.6364,0.6205,0.7586,0.6001,0.7619,1.1971,0.6103,0.5868,85
44,4,45,5,50,1.4264,1.6196,0.97,1.2108,10.2747,11.6724,3.8183,4.3273,0.7463,0.9051,0.7028,0.8953,1.1982,0.7246,0.4736,67
15,5,22,6,28,1.438,1.6417,0.9605,1.2413,10.9665,12.2386,3.9161,4.966,0.6918,0.8391,0.6386,0.8263,1.1992,0.6652,0.5341,78
43,4,45,5,50,1.4238,1.6174,0.9754,1.2173,10.2529,11.6526,3.902,4.4024,0.7467,0.9052,0.7036,0.8959,1.1996,0.7252,0.4744,67
39,2,44,2,46,1.5093,1.7338,0.8902,1.0847,12.0033,13.6232,2.9862,3.8221,0.6077,0.7496,0.6122,0.8028,1.1997,0.61,0.5898,85
39,1,44,2,46,1.5093,1.7338,0.8902,1.0847,12.0033,13.6232,2.9862,3.8221,0.6077,0.7496,0.6122,0.8028,1.1997,0.61,0.5898,85
26,4,33,5,38,1.3405,1.5365,1.0594,1.2698,9.9811,11.2617,4.2397,4.9269,0.7814,0.9341,0.7242,0.9129,1.2,0.7528,0.4472,65
19,3,26,4,30,1.3995,1.5738,1.0011,1.2346,10.875,12.1245,3.8401,4.6732,0.621,0.7585,0.6022,0.7683,1.2003,0.6116,0.5887,85
22,7,29,7,36,1.411,1.6305,0.9908,1.23,10.0208,11.1992,4.065,4.7796,0.6957,0.8394,0.6826,0.8575,1.2009,0.6892,0.5117,70
22,6,29,7,36,1.411,1.6305,0.9908,1.23,10.0208,11.1992,4.065,4.7796,0.6957,0.8394,0.6826,0.8575,1.2009,0.6892,0.5117,70
36,4,41,5,46,1.4351,1.6085,0.9674,1.213,11.5879,13.3739,4.2,4.9997,0.5952,0.7438,0.6193,0.7973,1.2013,0.6072,0.594,85
5,4,8,5,13,1.4012,1.6195,1.0015,1.2632,10.6142,12.0476,3.94,4.6817,0.6248,0.769,0.625,0.7925,1.2014,0.6249,0.5765,85
37,4,41,5,46,1.4362,1.6083,0.9718,1.2199,11.5719,13.3013,4.236,5.0415,0.5952,0.7432,0.621,0.7988,1.204,0.6081,0.5959,85
11,7,17,7,24,1.3603,1.5998,1.0491,1.3085,9.1966,10.3754,4.0942,4.9092,0.759,0.9159,0.6849,0.875,1.2047,0.722,0.4827,67
11,6,17,7,24,1.3603,1.5998,1.0491,1.3085,9.1966,10.3754,4.0942,4.9092,0.759,0.9159,0.6849,0.875,1.2047,0.722,0.4827,67
8,1,12,2,14,1.5069,1.7399,0.9045,1.1324,12.4862,14.0783,3.0501,3.7214,0.6344,0.7995,0.589,0.7994,1.2057,0.6117,0.594,85
8,2,12,2,14,1.5069,1.7399,0.9045,1.1324,12.4862,14.0783,3.0501,3.7214,0.6344,0.7995,0.589,0.7994,1.2057,0.6117,0.594,85
32,7,38,7,45,1.3725,1.5762,1.0396,1.2614,10.5368,11.3546,4.1322,4.6575,0.6143,0.7587,0.5981,0.7947,1.206,0.6062,0.5998,85
32,6,38,7,45,1.3725,1.5762,1.0396,1.2614,10.5368,11.3546,4.1322,4.6575,0.6143,0.7587,0.5981,0.7947,1.206,0.6062,0.5998,85
16,2,24,2,26,1.4863,1.6782,0.9266,1.1389,11.4007,12.4965,3.3008,4.0091,0.7045,0.8472,0.661,0.8299,1.2065,0.6827,0.5237,77
16,1,24,2,26,1.4863,1.6782,0.9266,1.1389,11.4007,12.4965,3.3008,4.0091,0.7045,0.8472,0.661,0.8299,1.2065,0.6827,0.5237,77
28,3,35,4,39,1.508,1.6851,0.9073,1.1166,12.6154,13.7175,3.1025,3.9184,0.719,0.8881,0.7371,0.9544,1.2077,0.7281,0.4796,68
31,7,38,7,45,1.3742,1.5801,1.0423,1.2596,10.5039,11.3251,4.0864,4.5879,0.6141,0.7588,0.5978,0.7943,1.2083,0.6059,0.6023,85
31,6,38,7,45,1.3742,1.5801,1.0423,1.2596,10.5039,11.3251,4.0864,4.5879,0.6141,0.7588,0.5978,0.7943,1.2083,0.6059,0.6023,85
18,1,25,2,27,1.4714,1.673,0.9464,1.2187,11.741,13.1538,3.1765,3.7951,0.6233,0.7569,0.5896,0.7574,1.2089,0.6064,0.6025,89
