top_x,top_y,n_sensor,n_demo,n_features,ohs_item_mae,ohs_item_rmse,sis_item_mae,sis_item_rmse,ohs_total_mae,ohs_total_rmse,sis_total_mae,sis_total_rmse,mean_item_mae,epochs
34,5,40,6,46,1.5083,1.7281,0.8813,1.1056,11.3473,12.6866,3.3078,3.6765,1.1948,73
32,1,38,2,40,1.4217,1.6406,0.9682,1.2496,10.2959,11.7449,3.7025,4.7893,1.195,121
32,2,38,2,40,1.4217,1.6406,0.9682,1.2496,10.2959,11.7449,3.7025,4.7893,1.195,121
37,5,41,6,47,1.4433,1.6564,0.9469,1.1637,10.1797,11.7382,3.7627,4.3902,1.1951,75
34,4,40,5,45,1.3756,1.5705,1.0153,1.2748,11.9493,12.948,3.999,4.7176,1.1955,105
23,3,30,4,34,1.4613,1.6669,0.9316,1.16,11.9888,13.2231,3.8026,4.4557,1.1964,76
13,2,19,2,21,1.4836,1.6834,0.91,1.1776,11.6552,12.7682,3.6159,4.2314,1.1968,78
13,1,19,2,21,1.4836,1.6834,0.91,1.1776,11.6552,12.7682,3.6159,4.2314,1.1968,78
36,5,41,6,47,1.4491,1.6598,0.9446,1.1642,10.3057,11.8451,3.7557,4.3764,1.1968,75
16,1,24,2,26,1.4954,1.6814,0.9034,1.1136,11.5122,12.7031,3.1875,3.8428,1.1994,77
16,2,24,2,26,1.4954,1.6814,0.9034,1.1136,11.5122,12.7031,3.1875,3.8428,1.1994,77
35,4,40,5,45,1.387,1.584,1.0122,1.2719,12.0282,13.0663,3.9638,4.6869,1.1996,105
17,6,25,7,32,1.4541,1.6658,0.9485,1.1839,10.2581,11.2239,2.75,3.2698,1.2013,138
17,7,25,7,32,1.4541,1.6658,0.9485,1.1839,10.2581,11.2239,2.75,3.2698,1.2013,138
18,1,25,2,27,1.4569,1.6344,0.9504,1.2178,11.515,12.7644,3.4895,4.1123,1.2036,82
18,2,25,2,27,1.4569,1.6344,0.9504,1.2178,11.515,12.7644,3.4895,4.1123,1.2036,82
38,4,43,5,48,1.4006,1.6314,1.0078,1.2381,9.8214,11.8466,4.0181,4.5092,1.2042,74
31,1,38,2,40,1.4318,1.6481,0.9768,1.2509,10.3412,11.8203,3.7147,4.8198,1.2043,121
31,2,38,2,40,1.4318,1.6481,0.9768,1.2509,10.3412,11.8203,3.7147,4.8198,1.2043,121
17,4,25,5,30,1.4704,1.6638,0.939,1.1553,11.9226,13.3231,2.8816,3.5918,1.2047,125
8,1,12,2,14,1.441,1.6567,0.9704,1.2308,11.6093,13.318,3.0377,3.7555,1.2057,246
8,2,12,2,14,1.441,1.6567,0.9704,1.2308,11.6093,13.318,3.0377,3.7555,1.2057,246
21,3,28,4,32,1.5243,1.7499,0.8872,1.1059,11.5222,13.0204,3.2936,3.8881,1.2058,78
15,3,22,4,26,1.4476,1.6371,0.9657,1.2211,9.7022,11.6335,3.8713,4.6938,1.2067,117
43,1,45,2,47,1.4794,1.6994,0.9347,1.2249,11.1446,12.6156,3.5297,4.1738,1.207,82
43,2,45,2,47,1.4794,1.6994,0.9347,1.2249,11.1446,12.6156,3.5297,4.1738,1.207,82
35,5,40,6,46,1.5356,1.7454,0.8802,1.0995,12.082,13.2866,3.2544,3.6604,1.2079,74
18,6,25,7,32,1.4769,1.6681,0.9401,1.1769,10.8577,12.1,2.7334,3.1064,1.2085,145
18,7,25,7,32,1.4769,1.6681,0.9401,1.1769,10.8577,12.1,2.7334,3.1064,1.2085,145
32,7,38,7,45,1.3887,1.5992,1.0321,1.2238,10.4431,11.6995,3.9715,4.5055,1.2104,74
32,6,38,7,45,1.3887,1.5992,1.0321,1.2238,10.4431,11.6995,3.9715,4.5055,1.2104,74
27,5,34,6,40,1.3748,1.5633,1.047,1.315,10.4948,11.546,4.181,4.8149,1.2109,120
31,6,38,7,45,1.3888,1.601,1.0383,1.2269,10.3947,11.6469,3.9908,4.5189,1.2136,74
31,7,38,7,45,1.3888,1.601,1.0383,1.2269,10.3947,11.6469,3.9908,4.5189,1.2136,74
33,5,39,6,45,1.351,1.539,1.0878,1.3458,10.1676,11.176,4.2154,4.8892,1.2194,105
30,6,38,7,45,1.3997,1.6145,1.0409,1.2281,10.6682,12.0379,3.9866,4.5533,1.2203,74
30,7,38,7,45,1.3997,1.6145,1.0409,1.2281,10.6682,12.0379,3.9866,4.5533,1.2203,74
29,3,36,4,40,1.3817,1.5751,1.0595,1.2811,10.1445,11.1106,4.5691,5.1745,1.2206,66
37,4,41,5,46,1.4066,1.5863,1.0371,1.2792,11.3941,12.4465,4.9086,5.6366,1.2218,72
36,4,41,5,46,1.4029,1.5845,1.041,1.2803,11.3902,12.4779,4.9046,5.6465,1.222,72
10,1,15,2,17,1.534,1.7485,0.9126,1.1482,12.3344,14.0007,3.0132,3.9381,1.2233,138
10,2,15,2,17,1.534,1.7485,0.9126,1.1482,12.3344,14.0007,3.0132,3.9381,1.2233,138
44,5,45,6,51,1.5421,1.723,0.9127,1.1493,12.5231,13.6998,3.0255,3.8441,1.2274,79
5,4,8,5,13,1.4568,1.6793,0.999,1.2342,11.0377,12.3267,3.8632,4.6456,1.2279,84
43,5,45,6,51,1.5472,1.7273,0.9111,1.1443,12.568,13.7404,3.0147,3.8128,1.2292,79
23,6,30,7,37,1.4641,1.6525,0.9979,1.2636,11.1212,12.6316,4.0541,4.6381,1.231,96
23,7,30,7,37,1.4641,1.6525,0.9979,1.2636,11.1212,12.6316,4.0541,4.6381,1.231,96
17,3,25,4,29,1.4778,1.6962,0.9848,1.2572,11.9222,13.5012,3.9129,4.5151,1.2313,136
13,5,19,6,25,1.5615,1.7866,0.9113,1.1703,11.9709,13.1974,2.9831,3.6772,1.2364,74
9,1,14,2,16,1.5769,1.8015,0.9011,1.1488,13.6666,15.2138,3.0259,3.7697,1.239,104
9,2,14,2,16,1.5769,1.8015,0.9011,1.1488,13.6666,15.2138,3.0259,3.7697,1.239,104
16,7,24,7,31,1.5146,1.745,0.9657,1.2095,11.5802,13.589,3.5151,4.1527,1.2401,93
16,6,24,7,31,1.5146,1.745,0.9657,1.2095,11.5802,13.589,3.5151,4.1527,1.2401,93
26,6,33,7,40,1.4647,1.696,1.0162,1.3125,10.1948,11.2387,4.1457,4.7803,1.2404,105
26,7,33,7,40,1.4647,1.696,1.0162,1.3125,10.1948,11.2387,4.1457,4.7803,1.2404,105
22,7,29,7,36,1.497,1.7096,0.9855,1.2655,10.8157,12.1437,4.2582,4.9811,1.2412,99
22,6,29,7,36,1.497,1.7096,0.9855,1.2655,10.8157,12.1437,4.2582,4.9811,1.2412,99
25,6,33,7,40,1.4791,1.7067,1.0109,1.3029,10.406,11.4979,4.0547,4.7694,1.245,105
25,7,33,7,40,1.4791,1.7067,1.0109,1.3029,10.406,11.4979,4.0547,4.7694,1.245,105
19,4,26,5,31,1.5717,1.7632,0.9286,1.1524,13.029,14.4387,3.4775,4.2121,1.2502,103
21,4,28,5,33,1.4442,1.6591,1.0572,1.3237,11.6514,12.9766,4.2676,4.9642,1.2507,77
44,4,45,5,50,1.513,1.7223,0.9964,1.2475,11.3487,12.8891,3.6405,4.141,1.2547,78
12,7,18,7,25,1.5558,1.7745,0.9559,1.2024,11.8586,13.3616,3.2009,3.8373,1.2558,73
12,6,18,7,25,1.5558,1.7745,0.9559,1.2024,11.8586,13.3616,3.2009,3.8373,1.2558,73
30,3,38,4,42,1.5272,1.751,0.9858,1.2193,12.2218,13.1509,3.8919,4.5321,1.2565,101
43,4,45,5,50,1.5158,1.7248,1.0022,1.255,11.4225,12.9638,3.7493,4.2575,1.259,78
38,6,43,7,50,1.5217,1.7331,0.9978,1.2543,10.7204,12.8877,3.5776,4.0027,1.2598,78
38,7,43,7,50,1.5217,1.7331,0.9978,1.2543,10.7204,12.8877,3.5776,4.0027,1.2598,78
7,2,11,2,13,1.5344,1.7671,0.9906,1.3163,11.994,13.6056,4.1842,4.8957,1.2625,111
7,1,11,2,13,1.5344,1.7671,0.9906,1.3163,11.994,13.6056,4.1842,4.8957,1.2625,111
39,5,44,6,50,1.4903,1.6836,1.0419,1.3314,10.2697,11.7959,4.0404,4.618,1.2661,110
40,5,44,6,50,1.4927,1.6882,1.0445,1.3367,10.2144,11.7606,4.0339,4.603,1.2686,110
41,5,44,6,50,1.4927,1.6882,1.0445,1.3367,10.2144,11.7606,4.0339,4.603,1.2686,110
18,3,25,4,29,1.5537,1.7775,0.9857,1.2763,11.7838,14.0215,3.9055,4.5296,1.2697,117
42,5,44,6,50,1.4951,1.6876,1.0446,1.3373,10.3604,11.8581,4.0378,4.6276,1.2698,110
37,6,41,7,48,1.5189,1.7481,1.0224,1.235,10.8625,12.3219,3.9172,4.5604,1.2706,75
37,7,41,7,48,1.5189,1.7481,1.0224,1.235,10.8625,12.3219,3.9172,4.5604,1.2706,75
36,6,41,7,48,1.5226,1.7509,1.0198,1.2343,10.9359,12.3991,3.9199,4.5704,1.2712,75
36,7,41,7,48,1.5226,1.7509,1.0198,1.2343,10.9359,12.3991,3.9199,4.5704,1.2712,75
27,7,34,7,41,1.5509,1.7195,0.9966,1.2426,12.8861,14.4089,4.1209,4.6232,1.2738,76
27,6,34,7,41,1.5509,1.7195,0.9966,1.2426,12.8861,14.4089,4.1209,4.6232,1.2738,76
20,4,26,5,31,1.6034,1.7935,0.9497,1.1675,13.6142,15.0545,3.5532,4.3242,1.2765,103
18,5,25,6,31,1.5586,1.7569,1.0057,1.2768,12.7484,14.2946,3.7316,4.7437,1.2821,138
31,3,38,4,42,1.5723,1.7848,0.9928,1.2369,12.5747,13.6393,3.9685,4.5891,1.2826,101
16,4,24,5,29,1.521,1.7306,1.0455,1.3049,11.735,13.1323,4.5081,5.1898,1.2832,116
32,3,38,4,42,1.581,1.792,0.9922,1.2383,12.718,13.825,3.9785,4.676,1.2866,101
21,6,28,7,35,1.5212,1.7366,1.08,1.4056,13.2257,14.3628,4.6774,5.4196,1.3006,92
21,7,28,7,35,1.5212,1.7366,1.08,1.4056,13.2257,14.3628,4.6774,5.4196,1.3006,92
42,4,44,5,49,1.5459,1.7641,1.0667,1.3289,11.9449,13.3207,4.3269,5.0693,1.3063,89
17,5,25,6,31,1.6064,1.8056,1.0109,1.2698,13.3694,15.0399,3.6124,4.5995,1.3087,138
19,5,26,6,32,1.6486,1.8357,0.9702,1.1906,13.0024,14.9881,3.6239,4.4316,1.3094,95
40,4,44,5,49,1.5533,1.7714,1.0703,1.3329,12.1018,13.4753,4.3725,5.1242,1.3118,89
41,4,44,5,49,1.5533,1.7714,1.0703,1.3329,12.1018,13.4753,4.3725,5.1242,1.3118,89
20,5,26,6,32,1.6408,1.8233,0.9896,1.2083,12.8203,14.8265,3.7606,4.588,1.3152,95
29,5,36,6,42,1.6564,1.8967,0.9886,1.2421,12.6287,14.0267,3.5482,4.054,1.3225,136
46,4,46,5,51,1.5583,1.7706,1.1065,1.3246,12.7102,14.2009,4.9592,5.5891,1.3324,85
45,4,46,5,51,1.5583,1.7706,1.1065,1.3246,12.7102,14.2009,4.9592,5.5891,1.3324,85
