top_x,top_y,n_sensor,n_demo,n_features,ohs_item_mae,ohs_item_rmse,sis_item_mae,sis_item_rmse,ohs_total_mae,ohs_total_rmse,sis_total_mae,sis_total_rmse,mean_item_mae,epochs
9,6,14,7,21,1.2265,1.4286,0.8602,1.0489,7.8363,8.9029,3.1881,3.5801,1.0434,61
9,7,14,7,21,1.2265,1.4286,0.8602,1.0489,7.8363,8.9029,3.1881,3.5801,1.0434,61
30,5,38,6,44,1.2364,1.4451,0.8509,1.0403,8.3976,9.2687,2.7877,3.3097,1.0436,61
14,5,20,6,26,1.252,1.4311,0.8363,1.0237,8.2625,9.5071,3.0417,3.4503,1.0442,61
29,0,36,0,36,1.2781,1.4746,0.8118,1.029,8.3915,9.5562,2.7032,3.4374,1.0449,74
40,0,44,0,44,1.2127,1.4212,0.8775,1.0706,8.1419,9.1194,3.0946,3.7422,1.0451,68
41,0,44,0,44,1.2127,1.4212,0.8775,1.0706,8.1419,9.1194,3.0946,3.7422,1.0451,68
13,7,19,7,26,1.2256,1.4176,0.8657,1.0644,7.6298,8.6637,3.0082,3.4411,1.0456,63
13,6,19,7,26,1.2256,1.4176,0.8657,1.0644,7.6298,8.6637,3.0082,3.4411,1.0456,63
31,5,38,6,44,1.2382,1.448,0.8555,1.0454,8.4057,9.2743,2.7917,3.328,1.0468,61
32,5,38,6,44,1.2375,1.4474,0.8582,1.0475,8.4048,9.2708,2.8044,3.3508,1.0479,61
14,6,20,7,27,1.298,1.4837,0.7986,1.0098,9.3708,10.5977,2.8947,3.3109,1.0483,65
14,7,20,7,27,1.298,1.4837,0.7986,1.0098,9.3708,10.5977,2.8947,3.3109,1.0483,65
15,2,22,2,24,1.2999,1.5041,0.7972,0.9563,8.8814,9.9316,2.707,3.2205,1.0485,62
15,1,22,2,24,1.2999,1.5041,0.7972,0.9563,8.8814,9.9316,2.707,3.2205,1.0485,62
42,0,44,0,44,1.2238,1.4309,0.8751,1.0696,8.2287,9.243,3.0669,3.7268,1.0494,68
6,6,10,7,17,1.2604,1.4682,0.8389,1.0086,8.8766,9.864,2.7705,3.2722,1.0496,64
6,7,10,7,17,1.2604,1.4682,0.8389,1.0086,8.8766,9.864,2.7705,3.2722,1.0496,64
44,2,45,2,47,1.2332,1.443,0.8715,1.0401,7.9945,9.1413,3.0948,3.5022,1.0523,61
44,1,45,2,47,1.2332,1.443,0.8715,1.0401,7.9945,9.1413,3.0948,3.5022,1.0523,61
45,6,46,7,53,1.2271,1.4343,0.8808,1.1229,8.7457,9.7452,2.8658,3.3867,1.0539,60
45,7,46,7,53,1.2271,1.4343,0.8808,1.1229,8.7457,9.7452,2.8658,3.3867,1.0539,60
46,6,46,7,53,1.2271,1.4343,0.8808,1.1229,8.7457,9.7452,2.8658,3.3867,1.0539,60
46,7,46,7,53,1.2271,1.4343,0.8808,1.1229,8.7457,9.7452,2.8658,3.3867,1.0539,60
38,0,43,0,43,1.2537,1.4655,0.8554,1.0746,7.0647,8.1637,3.1532,4.0103,1.0546,68
22,4,29,5,34,1.231,1.4166,0.8808,1.0558,8.2646,9.3449,3.3494,3.8815,1.0559,61
38,3,43,4,47,1.2344,1.4522,0.881,1.0348,8.5132,9.4156,3.1779,3.6616,1.0577,62
37,0,41,0,41,1.2505,1.4224,0.8656,1.0744,8.6942,9.6206,2.9378,3.9757,1.058,68
16,3,24,4,28,1.2887,1.4905,0.829,1.0156,8.9334,9.9478,2.7833,3.2309,1.0588,63
27,4,34,5,39,1.2774,1.4565,0.8431,1.0352,9.4667,10.376,2.9747,3.5882,1.0602,63
20,7,26,7,33,1.1686,1.3859,0.9612,1.1478,7.7346,8.5689,3.6838,4.1052,1.0649,60
20,6,26,7,33,1.1686,1.3859,0.9612,1.1478,7.7346,8.5689,3.6838,4.1052,1.0649,60
21,2,28,2,30,1.2685,1.4686,0.8642,1.0443,8.9773,9.9446,3.1035,3.7538,1.0664,61
21,1,28,2,30,1.2685,1.4686,0.8642,1.0443,8.9773,9.9446,3.1035,3.7538,1.0664,61
22,3,29,4,33,1.3299,1.5571,0.8051,1.0301,8.9962,9.9966,2.7301,3.314,1.0675,62
24,2,32,2,34,1.2994,1.4779,0.8402,1.0333,9.0944,10.1902,2.8405,3.3133,1.0698,63
24,1,32,2,34,1.2994,1.4779,0.8402,1.0333,9.0944,10.1902,2.8405,3.3133,1.0698,63
25,5,33,6,39,1.2712,1.4637,0.8688,1.0551,8.7147,9.8852,3.0789,3.73,1.07,63
26,5,33,6,39,1.2709,1.4623,0.8727,1.0572,8.7604,9.9348,3.1219,3.7726,1.0718,63
6,1,10,2,12,1.356,1.5529,0.7888,0.9985,9.2676,10.3258,2.4241,2.7716,1.0724,64
6,2,10,2,12,1.356,1.5529,0.7888,0.9985,9.2676,10.3258,2.4241,2.7716,1.0724,64
19,6,26,7,33,1.1747,1.393,0.9732,1.1597,7.833,8.6735,3.7609,4.2433,1.0739,60
19,7,26,7,33,1.1747,1.393,0.9732,1.1597,7.833,8.6735,3.7609,4.2433,1.0739,60
5,3,8,4,12,1.2965,1.5032,0.8544,1.0534,8.1764,9.3956,2.7335,3.0662,1.0754,62
29,1,36,2,38,1.2726,1.4767,0.8788,1.1046,8.668,9.8386,3.2284,3.7004,1.0757,66
29,2,36,2,38,1.2726,1.4767,0.8788,1.1046,8.668,9.8386,3.2284,3.7004,1.0757,66
24,4,32,5,37,1.2635,1.4612,0.8905,1.0792,9.3452,10.3551,3.1922,3.702,1.077,60
21,0,28,0,28,1.401,1.6109,0.7551,0.9771,10.1576,11.7074,2.2204,3.0343,1.0781,85
14,4,20,5,25,1.2912,1.4912,0.8672,1.0973,8.5003,9.6213,2.9898,3.3751,1.0792,62
8,3,12,4,16,1.3137,1.5203,0.848,1.0409,9.1947,10.2631,2.9349,3.4528,1.0808,64
15,4,22,5,27,1.2582,1.4267,0.9048,1.0868,8.9256,10.1577,3.5111,4.136,1.0815,61
12,4,18,5,23,1.3113,1.5144,0.8524,1.0566,9.2471,10.2341,3.0475,3.4391,1.0819,62
21,5,28,6,34,1.3196,1.5097,0.8446,1.0189,9.3763,10.5165,3.0758,3.5861,1.0821,61
15,7,22,7,29,1.2771,1.4607,0.8901,1.1192,9.2728,10.3742,2.9234,3.3965,1.0836,63
15,6,22,7,29,1.2771,1.4607,0.8901,1.1192,9.2728,10.3742,2.9234,3.3965,1.0836,63
13,3,19,4,23,1.2751,1.5085,0.8924,1.1059,7.1876,8.3359,3.2542,3.6718,1.0837,62
5,5,8,6,14,1.2221,1.4311,0.946,1.1334,8.3261,9.5428,3.8209,4.2933,1.0841,64
27,0,34,0,34,1.2483,1.4687,0.9202,1.1366,9.2408,9.9244,3.1344,4.1687,1.0842,84
6,3,10,4,14,1.2326,1.4458,0.9372,1.1697,7.9116,8.9441,3.4782,4.1305,1.0849,64
7,5,11,6,17,1.3136,1.5257,0.8566,1.0366,8.9515,9.952,3.0906,3.6075,1.0851,64
